original_size,compressed_size,compression_ratio
7337,3609,0.5081095815728499
6404,2982,0.5343535290443473
3070,1507,0.5091205211726384
4361,2122,0.5134143545058473
8244,3949,0.5209849587578845
2652,1270,0.5211161387631975
3566,1634,0.5417835109366237
5021,2297,0.5425214100776738
6214,1892,0.6955262310910846
637,389,0.3893249607535322
4922,2253,0.5422592442096709
2873,1510,0.4744169857292029
4813,2342,0.5134012050696032
3647,1637,0.5511379215793804
3247,1342,0.5866954111487527
2011,1073,0.4664346096469418
3540,1662,0.5305084745762711
1235,695,0.437246963562753
4532,1940,0.5719329214474845
2589,1185,0.5422943221320973
957,526,0.4503657262277951
2663,1361,0.4889222681186631
3025,1418,0.5312396694214876
2569,1268,0.5064227325807708
1377,769,0.4415395787944808
3447,1695,0.5082680591818973
8266,3642,0.5593999516090007
3267,1553,0.524640342822161
4658,2249,0.517174753112924
9423,4311,0.542502387774594
4441,2155,0.5147489304210764
2991,1368,0.5426278836509528
4338,2085,0.5193637621023512
9817,4116,0.5807273097687684
3597,1835,0.4898526549902696
2502,1229,0.508792965627498
3002,1589,0.4706862091938707
7496,3312,0.5581643543223052
28776,10325,0.6411940505977203
551,370,0.3284936479128857
2466,1198,0.5141930251419302
4827,2220,0.5400870105655686
5576,2764,0.5043041606886658
2129,1043,0.5100986378581494
4065,1656,0.592619926199262
6898,3480,0.4955059437518121
8624,3927,0.5446428571428572
836,502,0.3995215311004785
19198,6866,0.6423585790186478
2863,1277,0.5539643730352777
621,377,0.3929146537842189
1766,942,0.4665911664779162
7390,3628,0.509066305818674
2545,1258,0.5056974459724951
4641,2283,0.5080801551389786
6211,3151,0.492674287554339
3246,1598,0.507701786814541
1091,558,0.4885426214482127
6485,2732,0.5787201233616037
1048,597,0.4303435114503816
6335,3010,0.5248618784530387
6280,3153,0.4979299363057324
4352,2025,0.5346966911764706
10382,4379,0.5782122905027933
2203,1147,0.4793463458919654
2522,1338,0.4694686756542426
7301,3629,0.5029448020819065
603,394,0.3466003316749585
3487,1786,0.4878118726699169
984,594,0.3963414634146341
3515,1627,0.537126600284495
5439,2550,0.5311638168781025
5119,2645,0.4832975190466888
8180,3403,0.5839853300733496
3970,1301,0.6722921914357682
1806,968,0.4640088593576965
4094,1833,0.5522716170004885
10484,4840,0.5383441434566959
843,472,0.4400948991696323
1627,886,0.455439459127228
2632,1298,0.506838905775076
4500,1606,0.6431111111111112
1314,723,0.4497716894977168
7974,3615,0.5466516177577125
13611,5453,0.5993681581074131
6132,2644,0.5688193085453359
12210,4868,0.6013104013104014
2518,1127,0.5524225575853852
4987,2198,0.5592540605574494
4087,1937,0.5260582334230487
6755,2994,0.5567727609178386
747,466,0.3761713520749665
2112,1074,0.4914772727272727
4091,1845,0.5490100219995111
6855,3163,0.5385849744711889
1680,908,0.4595238095238095
17780,7734,0.5650168728908886
4068,1946,0.5216322517207472
2609,1328,0.4909927175162898
5878,2732,0.5352160598843143
2408,1181,0.5095514950166113
6042,2871,0.5248262164846078
12627,5617,0.5551595786806051
4933,2399,0.5136833569835799
4899,2211,0.548683404776485
1899,966,0.4913112164296999
5782,2471,0.572639225181598
5576,2764,0.5043041606886658
7897,3431,0.5655312143852096
9268,3951,0.5736944324557618
2335,1108,0.5254817987152034
4888,2363,0.5165711947626841
1167,614,0.4738646101113967
5170,2412,0.5334622823984526
5691,2756,0.5157265858372869
915,507,0.4459016393442623
8137,3434,0.5779771414526238
2443,1246,0.4899713467048711
6098,2938,0.5182026894063627
2488,1086,0.5635048231511254
30605,10789,0.6474759026302892
2011,946,0.529587270014918
4410,2121,0.519047619047619
7174,3287,0.5418176749372735
8246,4022,0.5122483628425903
5336,1999,0.6253748125937031
4345,1989,0.5422324510932106
1517,816,0.4620962425840474
3658,1690,0.5379989065062876
2551,1360,0.4668757350058801
2845,1149,0.5961335676625659
1039,593,0.4292589027911453
3375,1410,0.5822222222222222
2466,1408,0.4290348742903487
3755,1808,0.518508655126498
3541,1670,0.5283818130471618
1148,679,0.4085365853658537
616,377,0.387987012987013
7292,3263,0.5525233132199671
584,370,0.3664383561643836
27746,11023,0.6027175088301016
723,456,0.3692946058091286
696,425,0.389367816091954
2894,1398,0.5169315825846579
11450,4729,0.5869868995633187
771,480,0.377431906614786
3144,1602,0.4904580152671756
3215,1554,0.5166407465007776
2679,1163,0.5658827920865994
4772,2331,0.5115255658005029
2170,1048,0.5170506912442396
6469,3134,0.5155356314731798
1427,809,0.4330763840224246
7096,3472,0.5107102593010147
952,567,0.4044117647058823
5498,2396,0.5642051655147327
15050,5913,0.607109634551495
1393,727,0.4781048097631012
2644,1371,0.4814674735249622
3710,1772,0.5223719676549865
2014,1019,0.4940417080436942
4886,2401,0.5085959885386819
3511,1774,0.4947308459128453
12314,5811,0.5280980997238915
6303,2881,0.5429160717118833
4307,2170,0.4961690271650801
3672,1811,0.5068082788671024
5999,2879,0.520086681113519
19182,4354,0.7730163695130852
4822,2277,0.527789299046039
3645,1539,0.5777777777777777
9897,4653,0.5298575325856321
966,628,0.3498964803312629
6194,2823,0.5442363577655795
5978,2582,0.5680829708932753
2837,1512,0.4670426506873457
5262,2243,0.5737362219688331
2660,1366,0.4864661654135338
5061,2372,0.5313179213594151
6411,3203,0.5003899547652473
851,523,0.3854289071680375
619,376,0.3925686591276252
17252,7467,0.5671806167400881
4187,2045,0.5115834726534512
5838,2920,0.4998287084618019
8988,3923,0.5635291499777482
5105,2565,0.4975514201762977
3089,1389,0.5503399158303658
6305,3166,0.4978588421887391
29007,10408,0.6411900575723102
2671,1340,0.4983152377386747
10219,4251,0.5840101771210491
2668,1368,0.487256371814093
10313,4836,0.5310772811015223
3073,1521,0.5050439310120404
844,522,0.3815165876777251
2597,1279,0.5075086638428956
3621,1597,0.5589616128141397
2997,1508,0.4968301634968302
992,537,0.4586693548387096
6359,2905,0.5431671646485297
9452,4089,0.567393144308083
4117,1956,0.5248967694923488
3990,1628,0.5919799498746867
8899,3729,0.5809641532756489
3464,1644,0.5254041570438799
637,420,0.3406593406593406
3616,1616,0.5530973451327434
627,390,0.3779904306220095
2888,1432,0.5041551246537397
518,339,0.3455598455598455
3199,1660,0.4810878399499844
3496,1780,0.4908466819221968
4528,1624,0.6413427561837456
8315,3398,0.5913409500901985
6135,2682,0.5628361858190709
5019,2223,0.557083084279737
843,493,0.4151838671411625
2001,1007,0.4967516241879061
5141,2320,0.5487259288076249
4540,2285,0.4966960352422908
3566,1702,0.5227145260796411
753,485,0.3559096945551129
15177,6250,0.5881926599459708
4767,2165,0.5458359555275855
1964,979,0.5015274949083504
8165,3155,0.6135946111451316
2281,1177,0.4839982463831652
1065,620,0.4178403755868545
4027,1957,0.514030295505339
3692,1710,0.5368364030335862
1766,942,0.4665911664779162
1112,586,0.4730215827338129
11342,5220,0.539763710104038
2132,1037,0.5136022514071295
5697,2944,0.4832367912936633
1776,889,0.4994369369369369
9002,3992,0.5565429904465674
5135,2293,0.5534566699123662
1128,701,0.3785460992907801
11109,3256,0.7069043118192457
6883,2652,0.6147028911811709
1432,836,0.4162011173184358
6990,3189,0.5437768240343348
7644,3619,0.5265567765567766
840,532,0.3666666666666667
30605,10789,0.6474759026302892
9946,4490,0.5485622360748039
1512,832,0.4497354497354497
3071,1489,0.5151416476717682
706,461,0.3470254957507082
9105,4006,0.5600219659527732
3832,1958,0.4890396659707724
5340,2723,0.4900749063670412
2555,1357,0.4688845401174168
8018,3866,0.5178348715390372
5754,2326,0.5957594716718804
22958,8266,0.6399512152626535
7901,3709,0.5305657511707379
2971,1537,0.4826657691013126
2172,1032,0.5248618784530387
8244,3905,0.5263221737020864
3603,1680,0.533721898417985
23770,9619,0.595330248212032
4033,1894,0.530374411108356
5303,2464,0.5353573448991137
869,489,0.4372842347525891
930,527,0.4333333333333333
2903,1543,0.4684808818463658
3836,1543,0.5977580813347236
6004,2893,0.5181545636242505
10529,3630,0.6552379143318454
2697,1228,0.5446792732665925
8108,3789,0.5326837691169215
3001,1533,0.4891702765744752
3983,1937,0.5136831534019584
8824,3946,0.5528105167724389
1170,800,0.3162393162393162
2681,1289,0.5192092502797463
4680,2091,0.5532051282051282
5949,2938,0.5061354849554547
5667,2839,0.4990294688547733
14079,6095,0.5670857305206336
2621,1333,0.4914154902708889
2475,1212,0.5103030303030303
29466,11004,0.6265526369374872
631,407,0.3549920760697306
4353,2064,0.5258442453480359
3694,1851,0.4989171629669734
2611,1149,0.5599387207966297
17067,6564,0.6153981367551415
6550,2696,0.5883969465648855
1989,912,0.5414781297134239
3820,1795,0.5301047120418848
10721,4037,0.6234493051021359
2961,1433,0.5160418777440055
4086,2049,0.4985315712187959
2170,1097,0.4944700460829493
1083,635,0.4136657433056325
2347,1279,0.4550489987217725
2179,1159,0.4681046351537402
4175,1760,0.578443113772455
4837,2483,0.486665288401902
1582,855,0.4595448798988621
5158,2675,0.4813881349360217
2379,1119,0.5296343001261035
2192,1094,0.5009124087591241
3503,1697,0.5155580930630888
1714,912,0.4679113185530922
5469,2682,0.5095995611629183
12461,5021,0.5970628360484712
3929,1833,0.533469076100789
1036,580,0.4401544401544401
11422,4985,0.5635615478900368
5958,2906,0.5122524337025848
8108,3531,0.5645041933892452
2626,1323,0.4961919268849961
5814,2772,0.5232198142414861
6332,2775,0.5617498420720152
3726,1699,0.5440150295222759
2704,1365,0.4951923076923077
5447,2713,0.5019276666054708
4321,2094,0.5153899560286971
2424,1146,0.5272277227722773
5773,2800,0.5149835440845314
1050,601,0.4276190476190475
3432,1563,0.5445804195804196
2678,1331,0.5029873039581778
4625,2318,0.4988108108108108
27169,10295,0.621075490448673
4315,1980,0.541135573580533
9337,3786,0.5945164399700118
3525,1688,0.5211347517730496
7535,3529,0.531652289316523
738,456,0.3821138211382113
1247,778,0.376102646351243
4009,1609,0.5986530306809679
2774,1406,0.4931506849315068
2743,1281,0.5329930732774335
4912,2387,0.5140472312703583
4960,2454,0.505241935483871
5664,2419,0.5729166666666667
3235,1666,0.4850077279752705
8894,4348,0.5111310996177199
2424,1247,0.4855610561056105
6928,2992,0.5681293302540416
4056,1488,0.6331360946745562
13152,5758,0.5621958637469586
4974,2288,0.5400080418174508
6539,3101,0.525768466126319
2674,1362,0.4906507105459985
2135,1111,0.4796252927400468
4518,1995,0.5584329349269588
5307,2795,0.4733371019408329
3635,1728,0.5246217331499312
5676,2217,0.6094080338266386
920,557,0.3945652173913043
7827,3702,0.5270218474511307
3838,1685,0.5609692548202189
3405,1658,0.5130690161527166
2794,1320,0.5275590551181102
1774,917,0.4830890642615558
5261,2370,0.5495153012735221
5958,2906,0.5122524337025848
4091,2050,0.4989000244439012
8855,4125,0.5341614906832298
5557,2393,0.5693719632895446
2472,1390,0.4377022653721683
3051,1371,0.5506391347099311
927,560,0.3959007551240561
1940,876,0.5484536082474227
3309,1690,0.4892716832880024
2863,1441,0.4966818023052741
561,371,0.338680926916221
3749,1951,0.4795945585489464
5633,2385,0.5766021658086278
7775,3570,0.5408360128617363
4405,2144,0.5132803632236096
6726,3085,0.5413321439191199
1870,973,0.4796791443850268
18969,8496,0.5521113395540092
2823,1534,0.4566064470421537
16191,7032,0.5656846396146007
2454,1199,0.5114099429502852
560,358,0.3607142857142857
13417,5953,0.556309160020869
564,359,0.3634751773049646
5891,2792,0.5260566966559158
2907,1410,0.5149638802889577
5258,2457,0.5327120578166603
4538,2304,0.4922873512560599
7786,3277,0.5791163627022862
3755,1808,0.518508655126498
9429,4454,0.5276275320818751
4297,1965,0.5427042122410984
8175,4030,0.5070336391437309
1787,897,0.4980414101846671
1928,999,0.4818464730290456
3405,1604,0.5289280469897211
2428,1229,0.4938220757825371
5236,2243,0.5716195569136746
3006,1511,0.4973386560212908
16484,7227,0.5615748604707596
994,556,0.4406438631790744
10031,4444,0.556973382514206
8476,3123,0.6315478999528079
5594,2611,0.5332499106185198
5645,2479,0.5608503100088573
6710,2860,0.5737704918032787
13603,5720,0.5795045210615306
24327,9181,0.622600402844576
883,536,0.3929784824462061
3836,1841,0.5200729927007299
11671,5098,0.5631908148402023
3692,1603,0.5658179848320694
697,458,0.3428981348637016
1743,964,0.4469305794606999
4424,2058,0.5348101265822784
3661,1595,0.5643266866976235
4933,2230,0.5479424285424691
3195,1536,0.5192488262910798
7696,3491,0.5463877338877339
8149,3469,0.5743035955331943
11191,4576,0.591099991064248
2179,1112,0.4896741624598439
7567,3463,0.542354962336461
1396,749,0.4634670487106017
6339,2791,0.5597097333964347
4244,1917,0.5483034872761545
2674,1377,0.4850411368735976
8030,3674,0.5424657534246575
5511,2059,0.6263835964434767
6499,2954,0.545468533620557
14902,6269,0.5793182123204939
3622,1714,0.5267807840971839
5466,2635,0.517929015733626
3348,1278,0.6182795698924731
2954,1451,0.5088016249153691
5938,2874,0.515998652745032
4863,2169,0.553979025293029
3266,1691,0.4822412737293325
864,552,0.3611111111111111
5683,2485,0.5627309519619919
3648,1599,0.5616776315789473
556,342,0.3848920863309353
2215,1162,0.4753950338600451
2867,1441,0.4973840251133589
5047,2427,0.5191202694670101
1052,620,0.4106463878326996
4468,2095,0.5311101163831692
4667,2143,0.5408185129633598
2780,1318,0.5258992805755396
979,563,0.424923391215526
532,359,0.325187969924812
3892,1804,0.5364850976361768
5312,2037,0.6165286144578312
3948,1821,0.5387537993920972
10172,4528,0.5548564687377113
3522,1724,0.5105053946621239
10278,4407,0.5712200817279627
3339,1413,0.5768194070080863
5013,2239,0.5533612607221225
5569,2622,0.5291793858861555
781,485,0.3790012804097311
6717,3189,0.5252344796784278
4053,1765,0.5645201085615593
7301,3629,0.5029448020819065
6189,2676,0.5676199709161416
6101,2867,0.5300770365513849
4397,2154,0.5101205367295883
616,401,0.349025974025974
6325,2917,0.5388142292490119
635,386,0.3921259842519685
4027,2043,0.4926744474795133
5311,2491,0.5309734513274336
1175,697,0.4068085106382979
5410,2729,0.4955637707948244
4946,2275,0.5400323493732309
6901,3102,0.5504999275467324
7382,2868,0.6114874017881333
6861,3292,0.520186561725696
3976,2025,0.4906941649899397
3583,1796,0.498744069215741
874,501,0.4267734553775744
5444,2610,0.5205731080088171
16135,5451,0.6621629996901146
3757,1914,0.4905509715198296
3538,1638,0.5370265686828717
6676,2501,0.6253744757339724
5168,2023,0.6085526315789473
4773,2253,0.5279698302954117
6905,3371,0.5118030412744388
8695,4180,0.5192639447958597
7138,3332,0.5332025777528719
9112,4145,0.5451053555750658
11515,4829,0.5806339557099436
3415,1265,0.6295754026354319
25311,10308,0.5927462368140335
1776,944,0.4684684684684684
18668,8071,0.5676558817227341
3097,1666,0.462060058120762
3426,1701,0.5035026269702276
5349,2619,0.5103757711721817
6696,3268,0.51194743130227
2156,1183,0.4512987012987013
3475,1469,0.5772661870503597
907,552,0.3914002205071665
6271,2467,0.6066018178918833
6654,3365,0.4942891493838293
8375,3598,0.5703880597014925
1031,603,0.4151309408341416
3226,1542,0.5220086794792312
764,464,0.3926701570680628
6197,2704,0.5636598354042279
6328,2686,0.5755372945638433
5911,2711,0.5413635594654035
507,345,0.3195266272189349
647,413,0.3616692426584235
4737,2494,0.4735064386742664
2918,1494,0.4880054832076764
3537,1725,0.5122985581000848
3742,1837,0.5090860502405131
5464,2718,0.502562225475842
2918,1245,0.5733379026730637
5467,2686,0.5086884946039876
4386,1969,0.5510715914272686
3808,1980,0.4800420168067226
2258,1128,0.5004428697962799
2622,1259,0.5198321891685735
6296,2955,0.5306543837357052
8849,3833,0.5668437111538027
5350,2624,0.5095327102803738
4442,2162,0.5132823052678974
633,399,0.3696682464454977
20726,6450,0.6887966804979253
834,516,0.3812949640287769
4040,2001,0.5047029702970297
5894,2735,0.5359687818120122
3262,1382,0.5763335377069283
5232,2167,0.5858180428134556
4016,1932,0.5189243027888446
4251,2144,0.4956480828040461
864,530,0.386574074074074
7020,2600,0.6296296296296297
3784,1848,0.5116279069767442
3533,1719,0.5134446645909991
8698,4011,0.5388595079328582
731,442,0.3953488372093023
3137,1461,0.5342684093082564
1482,821,0.4460188933873145
5549,2769,0.5009911695801046
2284,1233,0.4601576182136602
2235,1149,0.4859060402684564
4358,2096,0.5190454336851766
6099,2760,0.5474667978357108
2539,1239,0.5120126033871604
775,490,0.367741935483871
908,534,0.4118942731277533
1977,1008,0.4901365705614567
4917,2451,0.5015253203172666
6973,3408,0.5112577083034562
7961,3646,0.5420173345057153
4594,2108,0.541140618197649
4276,1933,0.5479420018709074
3475,1547,0.5548201438848921
3814,1755,0.5398531725222864
3984,1495,0.6247489959839357
5618,2533,0.5491278034887861
5338,2475,0.5363431997002623
3865,1913,0.5050452781371281
8670,3858,0.5550173010380623
9176,3725,0.5940496948561464
2972,1379,0.5360026917900405
1137,629,0.4467897977132805
2649,1192,0.5500188750471876
6934,3009,0.5660513412171906
5219,2689,0.4847671967809925
14183,5095,0.6407671155608827
4207,1802,0.5716662705015451
5476,2570,0.5306793279766253
2290,1162,0.4925764192139737
4053,1977,0.5122131754256107
629,403,0.3593004769475357
5048,2523,0.5001980982567353
4187,1869,0.5536183424886554
5238,2410,0.5399007254677357
10475,5041,0.5187589498806683
5782,2269,0.6075752334832238
2951,1441,0.5116909522195866
3525,1629,0.5378723404255319
11456,5455,0.5238303072625698
672,415,0.3824404761904761
3436,1750,0.4906868451688009
8826,3834,0.5656016315431679
3285,1565,0.5235920852359208
13983,6319,0.5480941142816277
5474,2637,0.5182681768359518
2218,1092,0.5076645626690712
30605,10789,0.6474759026302892
7482,3593,0.5197808072707832
754,479,0.3647214854111406
6651,2991,0.5502931889941363
1235,695,0.437246963562753
6488,2633,0.594173859432799
6528,2976,0.5441176470588236
12943,5033,0.6111411573823688
10137,3927,0.6126072802604321
2229,1255,0.4369672498878421
3532,1836,0.4801812004530011
714,421,0.4103641456582633
27746,11023,0.6027175088301016
21010,5269,0.7492146596858639
2734,1425,0.4787856620336503
4533,2081,0.5409221266269579
882,476,0.4603174603174603
3664,1763,0.5188318777292577
5261,2014,0.6171830450484699
5048,2398,0.5249603803486529
3207,1595,0.5026504521359526
3024,1575,0.4791666666666666
4226,2031,0.5194036914339801
520,328,0.3692307692307692
3368,1637,0.5139548693586699
2365,1181,0.5006342494714588
2786,1252,0.5506101938262742
914,548,0.4004376367614879
2406,1302,0.4588528678304239
3400,1766,0.4805882352941176
2436,1167,0.520935960591133
1421,752,0.4707952146375791
2845,1376,0.5163444639718805
6839,2949,0.5687966076911829
10687,4939,0.5378497239636941
3282,1343,0.5907982937233394
2989,1414,0.5269320843091334
2547,1149,0.5488810365135454
1064,584,0.4511278195488721
10397,4551,0.5622775800711743
7976,3260,0.5912738214643931
2319,1233,0.4683053040103493
2113,1083,0.4874585896829153
587,395,0.3270868824531516
6220,2758,0.5565916398713826
7414,3472,0.5316967898570273
4428,2050,0.537037037037037
693,431,0.3780663780663781
6025,2926,0.514356846473029
822,501,0.3905109489051095
858,457,0.4673659673659673
3979,1935,0.513696908771048
3415,1522,0.5543191800878478
1644,871,0.4701946472019465
557,382,0.3141831238779174
6813,3318,0.5129898723029502
4435,2184,0.507553551296505
2381,1232,0.4825703485930281
2186,1058,0.5160109789569991
4645,2282,0.508719052744887
2202,1037,0.5290644868301544
6085,2893,0.5245686113393591
3155,1632,0.4827258320126782
5015,2462,0.5090727816550349
2660,1164,0.562406015037594
572,358,0.3741258741258741
1794,983,0.4520624303232998
3437,1495,0.5650276403840558
2246,1115,0.5035618878005343
8559,3335,0.6103516765977334
6575,3065,0.5338403041825095
4950,2439,0.5072727272727273
5255,2418,0.5398667935299715
2398,1231,0.4866555462885737
3164,1598,0.4949431099873578
6160,2784,0.5480519480519481
5203,2286,0.5606380934076494
7571,3340,0.5588429533747193
604,393,0.3493377483443708
954,534,0.440251572327044
6509,2604,0.5999385466277463
12436,5837,0.5306368607269218
505,333,0.3405940594059405
5670,2781,0.5095238095238095
11211,4891,0.5637320488805637
3827,1382,0.6388816305199896
5338,2475,0.5363431997002623
3424,1652,0.5175233644859814
2856,1355,0.5255602240896359
2410,1245,0.4834024896265559
2779,1282,0.5386829794890249
757,457,0.3963011889035667
1356,755,0.4432153392330383
918,531,0.4215686274509803
5002,2435,0.5131947221111555
2256,1088,0.5177304964539007
776,480,0.3814432989690721
1836,977,0.4678649237472767
4638,2123,0.5422595946528677
6218,3055,0.5086844644580251
5628,2787,0.5047974413646055
2600,1360,0.4769230769230769
7339,3077,0.5807330699005314
4276,1907,0.5540224508886811
6039,2739,0.5464480874316939
5135,2419,0.5289191820837391
13029,5075,0.6104843042443779
3952,1741,0.5594635627530364
3345,1681,0.4974588938714499
1129,641,0.4322409211691762
6000,2258,0.6236666666666666
2530,1194,0.5280632411067194
4993,2456,0.5081113558982575
29466,11004,0.6265526369374872
907,515,0.4321940463065049
3821,1700,0.5550902904998691
6093,2950,0.5158378467093385
4642,2411,0.480611805256355
4993,2327,0.533947526537152
3700,1738,0.5302702702702703
7679,3573,0.5347050397187134
7014,3074,0.5617336755061306
3865,1767,0.5428201811125486
2310,1086,0.5298701298701298
26264,9846,0.6251142247943954
4678,2060,0.559640872167593
2757,1411,0.4882118244468625
4814,2350,0.5118404653095139
831,493,0.4067388688327317
3109,1579,0.4921196526214216
6069,2376,0.6085022244191794
1259,671,0.4670373312152501
8967,4018,0.5519125683060109
4264,1984,0.5347091932457786
1019,599,0.4121687929342492
10192,4708,0.5380690737833596
4857,2435,0.4986617253448631
5542,2703,0.5122699386503067
5952,2726,0.542002688172043
5628,2787,0.5047974413646055
5722,2694,0.529185599440755
4025,1996,0.5040993788819876
6734,3183,0.5273240273240274
4404,1969,0.5529064486830154
3087,1365,0.5578231292517006
7567,3425,0.54737676754328
589,385,0.3463497453310696
7130,2768,0.611781206171108
12239,5133,0.5806029904403955
7877,3924,0.5018408023359147
4812,1808,0.6242726517040731
3284,1696,0.4835566382460414
705,434,0.3843971631205674
2311,1179,0.4898312418866292
7098,3302,0.5347985347985348
3829,1433,0.6257508487855836
3455,1612,0.5334298118668597
4707,2191,0.5345230507754408
2299,1052,0.5424097433666812
13856,5040,0.6362586605080831
6375,3049,0.5217254901960784
6000,2790,0.5349999999999999
4532,2083,0.5403795233892321
5654,2480,0.5613724796604174
3104,1573,0.4932345360824742
12250,5294,0.5678367346938775
9255,3832,0.5859535386277688
3014,1354,0.5507631055076311
5221,2643,0.4937751388622869
11045,5218,0.5275690357627886
5477,2843,0.4809202117947782
3069,1509,0.5083088954056696
6204,2869,0.5375564152159897
5307,2238,0.5782928208027134
3951,1797,0.5451784358390281
651,405,0.3778801843317972
3250,1647,0.4932307692307692
12363,5139,0.5843241931570007
507,328,0.3530571992110454
8235,3625,0.5598057073466909
3945,1992,0.4950570342205322
718,445,0.3802228412256268
4191,1895,0.5478406108327368
3174,1516,0.5223692501575299
5685,2741,0.517854001759015
5712,2614,0.5423669467787116
4350,1722,0.6041379310344828
4516,2263,0.4988928255093002
4929,2496,0.4936092513694461
3501,1727,0.5067123678948872
732,482,0.3415300546448088
4326,2030,0.5307443365695793
7331,2631,0.6411130814350021
2789,1401,0.497669415561133
23217,10566,0.5449024421759917
3026,1487,0.5085922009253139
7099,3256,0.5413438512466544
7075,2915,0.5879858657243816
10677,4764,0.5538072492273111
4520,2009,0.5555309734513274
2342,1050,0.5516652433817251
2898,1421,0.5096618357487923
3619,1786,0.5064935064935066
3408,1727,0.4932511737089202
5020,2276,0.546613545816733
4431,2067,0.5335138794854435
3317,1530,0.5387398251432016
3129,1680,0.4630872483221476
3802,1835,0.5173592845870594
6801,2937,0.5681517423908249
2825,1337,0.5267256637168142
4450,1977,0.5557303370786517
3588,1704,0.5250836120401338
4437,2068,0.5339193148523778
5553,2683,0.516837745362867
13774,6205,0.54951357630318
5544,2720,0.5093795093795094
7308,2222,0.6959496442255063
2103,1052,0.4997622444127437
4573,2094,0.5420949048764487
3216,1463,0.5450870646766169
1095,608,0.4447488584474885
7367,3094,0.5800190036649926
8512,3865,0.5459351503759399
11950,5113,0.5721338912133891
2251,1112,0.505997334517992
5328,2598,0.5123873873873874
4243,2095,0.5062455809568701
5129,2487,0.5151101579255215
3897,2030,0.479086476777008
2007,1059,0.4723467862481315
4020,2118,0.4731343283582089
10352,4578,0.5577666151468315
3316,1652,0.5018094089264173
7328,3328,0.5458515283842795
5981,2799,0.5320180571810734
548,344,0.3722627737226277
3035,1496,0.5070840197693576
2336,1174,0.497431506849315
4801,2163,0.5494688606540303
6070,2766,0.5443163097199342
